"Representative","State","Amount"
"Shalala Donna (D-FL)","Florida","$104648"
"Kiggans Jen (R-VA)","Virginia","$103839"
"Shays Christopher (R-CT)","Connecticut","$103828"
"Sewell Terri (D-AL)","Alabama","$103800"
"Williams Nikema Natassha (D-GA)","Georgia","$103590"
"Cleaver Emanuel (D-MO)","Missouri","$103323"
"Hayes Jahana (D-CT)","Connecticut","$103307"
"Gilman Benjamin A (R-NY)","New York","$102793"
"Lance Leonard (R-NJ)","New Jersey","$102550"
"Speier Jackie (D-CA)","California","$102537"
"Mack Connie (R-FL)","Florida","$100900"
"Rokita Todd (R-IN)","Indiana","$100640"
"Hoeffel Joseph M (D-PA)","Pennsylvania","$100624"
"Amo Gabe (D-RI)","Rhode Island","$100563"
"Sessions Pete (R-TX)","Texas","$99977"
"Rosendale Matt (R-MT)","Montana","$99851"
"Garamendi John (D-CA)","California","$99850"
"Trone David (D-MD)","Maryland","$99850"
"Hutchinson Tim (R-AR)","Arkansas","$99300"
"Jackson Jesse Jr (D-IL)","Illinois","$98750"
"Reynolds Mel (D-IL)","Illinois","$98321"
"Nunn Zach (R-IA)","Iowa","$98222"
"Pettersen Brittany (D-CO)","Colorado","$98064"
"Cohen Steve (D-TN)","Tennessee","$97880"
"Wittman Rob (R-VA)","Virginia","$97580"
"Kennedy Joe III (D-MA)","Massachusetts","$97067"
"Price David (D-NC)","North Carolina","$96835"
"McNerney Jerry (D-CA)","California","$96557"
"Walorski Jackie (R-IN)","Indiana","$96500"
"Weiner Anthony D (D-NY)","New York","$96325"
"Palmer Gary (R-AL)","Alabama","$96020"
"McGarvey Morgan (D-KY)","Kentucky","$96013"
"Hill Katie (D-CA)","California","$95768"
"Bass Karen (D-CA)","California","$95767"
"Bergman John (R-MI)","Michigan","$95504"
"Clarke Yvette (D-NY)","New York","$94656"
"Castor Kathy (D-FL)","Florida","$93910"
"Carter Troy (D-LA)","Louisiana","$93850"
"Fleming John (R-LA)","Louisiana","$93800"
"Weller Jerry (R-IL)","Illinois","$93750"
"Cisneros Gil (D-CA)","California","$93035"
"Fudge Marcia (D-OH)","Ohio","$93008"
"Edwards Chet (D-TX)","Texas","$92866"
"Lujan Ben Ray (D-NM)","New Mexico","$92618"
"Issa Darrell (R-CA)","California","$92506"
"Marshall Roger (R-KS)","Kansas","$92400"
"Garcia Robert (D-CA)","California","$91900"
"Langworthy Nick (R-NY)","New York","$91293"
"Mullin Markwayne (R-OK)","Oklahoma","$91000"
"Buchanan Vernon (R-FL)","Florida","$90980"
"Magaziner Seth (D-RI)","Rhode Island","$90626"
"Coleman Bonnie Watson (D-NJ)","New Jersey","$90581"
"Rouda Harley (D-CA)","California","$90175"
"Ensign John (R-NV)","Nevada","$89800"
"Rangel Charles B (D-NY)","New York","$89600"
"Spartz Victoria (R-IN)","Indiana","$89411"
"Kennedy Mark (R-MN)","Minnesota","$89390"
"Zinke Ryan (R-MT)","Montana","$88954"
"Boustany Charles Jr (R-LA)","Louisiana","$88888"
"Walberg Tim (R-MI)","Michigan","$88460"
"Fedorchak Julie (R-ND)","North Dakota","$88050"
"Bonner Jo (R-AL)","Alabama","$87300"
"Kilmer Derek (D-WA)","Washington","$87150"
"Maloney Jim (D-CT)","Connecticut","$86780"
"Olszewski John Anthony Jr. (D-MD)","Maryland","$86600"
"Takano Mark (D-CA)","California","$86055"
"Spratt John M Jr (D-SC)","South Carolina","$85874"
"Gutierrez Luis V (D-IL)","Illinois","$85861"
"Maffei Dan (D-NY)","New York","$85082"
"Evans Lane (D-IL)","Illinois","$85081"
"Owens Burgess (R-UT)","Utah","$84969"
"Allard Wayne (R-CO)","Colorado","$84500"
"Halvorson Deborah (D-IL)","Illinois","$84177"
"Fernandez Teresa Leger (D-NM)","New Mexico","$83307"
"Steube Greg (R-FL)","Florida","$82905"
"Cammack Kat (R-FL)","Florida","$82838"
"Bishop Sanford (D-GA)","Georgia","$82302"
"Aspin Les (D-WI)","Wisconsin","$82150"
"Love Mia (R-UT)","Utah","$81830"
"DeMint Jim (R-SC)","South Carolina","$81700"
"Sanders Bernie (I-VT)","Vermont","$80665"
"Rochester Lisa Blunt (D-DE)","Delaware","$80435"
"Porter John Edward (R-IL)","Illinois","$80130"
"Tran Derek (D-CA)","California","$79747"
"Webster Daniel (R-FL)","Florida","$79562"
"Peltola Mary (D-AK)","Alaska","$79222"
"Smucker Lloyd (R-PA)","Pennsylvania","$78418"
"Pingree Chellie (D-ME)","Maine","$78393"
"Young David (R-IA)","Iowa","$78230"
"Gerlach Jim (R-PA)","Pennsylvania","$77956"
"Herrell Yvette (R-NM)","New Mexico","$77951"
"LaLota Nick (R-NY)","New York","$76971"
"Loudermilk Barry (R-GA)","Georgia","$76700"
"Timmons William (R-SC)","South Carolina","$76655"
"MacArthur Thomas (R-NJ)","New Jersey","$76440"
"Beatty Joyce (D-OH)","Ohio","$76200"
"Ruppersberger Dutch (D-MD)","Maryland","$76200"
"Huizenga Bill (R-MI)","Michigan","$76129"
"Jordan Jim (R-OH)","Ohio","$75895"
"Underwood Lauren A (D-IL)","Illinois","$75593"
"McBath Lucy (D-GA)","Georgia","$75415"
"McCollum Bill (R-FL)","Florida","$74406"
"DeGette Diana (D-CO)","Colorado","$74225"
"Northup Anne M (R-KY)","Kentucky","$73774"
"Paulsen Erik (R-MN)","Minnesota","$73735"
"Grijalva Raul M (D-AZ)","Arizona","$73583"
"Chaffetz Jason (R-UT)","Utah","$73552"
"Mannion John (D-NY)","New York","$73456"
"Comstock Barbara (R-VA)","Virginia","$73398"
"Bishop Mike (R-MI)","Michigan","$73089"
"Himes Jim (D-CT)","Connecticut","$72700"
"Lee Summer (D-PA)","Pennsylvania","$72626"
"Courtney Joe (D-CT)","Connecticut","$72045"
